location,date,vaccine,total_vaccinations
Estonia,2021-01-01,Pfizer/BioNTech,191
Estonia,2021-01-08,Pfizer/BioNTech,10921
Estonia,2021-01-15,Moderna,0
Estonia,2021-01-15,Pfizer/BioNTech,18167
Estonia,2021-01-22,Moderna,416
Estonia,2021-01-22,Pfizer/BioNTech,25596
Estonia,2021-01-29,Moderna,782
Estonia,2021-01-29,Pfizer/BioNTech,37887
Estonia,2021-02-05,Moderna,1306
Estonia,2021-02-05,Pfizer/BioNTech,52299
Estonia,2021-02-12,Moderna,2056
Estonia,2021-02-12,Oxford/AstraZeneca,0
Estonia,2021-02-12,Pfizer/BioNTech,66609
Estonia,2021-02-19,Moderna,2537
Estonia,2021-02-19,Oxford/AstraZeneca,7887
Estonia,2021-02-19,Pfizer/BioNTech,78735
Estonia,2021-02-26,Moderna,3291
Estonia,2021-02-26,Oxford/AstraZeneca,20025
Estonia,2021-02-26,Pfizer/BioNTech,90056
Estonia,2021-03-05,Moderna,5690
Estonia,2021-03-05,Oxford/AstraZeneca,37913
Estonia,2021-03-05,Pfizer/BioNTech,103591
Estonia,2021-03-12,Moderna,9190
Estonia,2021-03-12,Oxford/AstraZeneca,62348
Estonia,2021-03-12,Pfizer/BioNTech,120908
Estonia,2021-03-19,Moderna,11738
Estonia,2021-03-19,Oxford/AstraZeneca,78310
Estonia,2021-03-19,Pfizer/BioNTech,136171
Estonia,2021-03-26,Moderna,13969
Estonia,2021-03-26,Oxford/AstraZeneca,87518
Estonia,2021-03-26,Pfizer/BioNTech,155844
Estonia,2021-04-02,Moderna,17294
Estonia,2021-04-02,Oxford/AstraZeneca,106010
Estonia,2021-04-02,Pfizer/BioNTech,174987
Estonia,2021-04-09,Moderna,22332
Estonia,2021-04-09,Oxford/AstraZeneca,115959
Estonia,2021-04-09,Pfizer/BioNTech,199276
Estonia,2021-04-16,Johnson&Johnson,0
Estonia,2021-04-16,Moderna,26061
Estonia,2021-04-16,Oxford/AstraZeneca,125435
Estonia,2021-04-16,Pfizer/BioNTech,226380
Estonia,2021-04-23,Johnson&Johnson,0
Estonia,2021-04-23,Moderna,30797
Estonia,2021-04-23,Oxford/AstraZeneca,135672
Estonia,2021-04-23,Pfizer/BioNTech,250172
Estonia,2021-04-30,Johnson&Johnson,35
Estonia,2021-04-30,Moderna,35759
Estonia,2021-04-30,Oxford/AstraZeneca,151572
Estonia,2021-04-30,Pfizer/BioNTech,284081
Estonia,2021-05-07,Johnson&Johnson,346
Estonia,2021-05-07,Moderna,40486
Estonia,2021-05-07,Oxford/AstraZeneca,169091
Estonia,2021-05-07,Pfizer/BioNTech,330886
Estonia,2021-05-14,Johnson&Johnson,1078
Estonia,2021-05-14,Moderna,46102
Estonia,2021-05-14,Oxford/AstraZeneca,175878
Estonia,2021-05-14,Pfizer/BioNTech,365922
Estonia,2021-05-21,Johnson&Johnson,5773
Estonia,2021-05-21,Moderna,56784
Estonia,2021-05-21,Oxford/AstraZeneca,178783
Estonia,2021-05-21,Pfizer/BioNTech,410758
Estonia,2021-05-28,Johnson&Johnson,11195
Estonia,2021-05-28,Moderna,65103
Estonia,2021-05-28,Oxford/AstraZeneca,180915
Estonia,2021-05-28,Pfizer/BioNTech,457345
Estonia,2021-06-04,Johnson&Johnson,15041
Estonia,2021-06-04,Moderna,70515
Estonia,2021-06-04,Oxford/AstraZeneca,188363
Estonia,2021-06-04,Pfizer/BioNTech,499908
Estonia,2021-06-11,Johnson&Johnson,16322
Estonia,2021-06-11,Moderna,77591
Estonia,2021-06-11,Oxford/AstraZeneca,206196
Estonia,2021-06-11,Pfizer/BioNTech,541651
Estonia,2021-06-18,Johnson&Johnson,18883
Estonia,2021-06-18,Moderna,85863
Estonia,2021-06-18,Oxford/AstraZeneca,217383
Estonia,2021-06-18,Pfizer/BioNTech,589477
Estonia,2021-06-25,Johnson&Johnson,20362
Estonia,2021-06-25,Moderna,89681
Estonia,2021-06-25,Oxford/AstraZeneca,224501
Estonia,2021-06-25,Pfizer/BioNTech,607184
Estonia,2021-07-02,Johnson&Johnson,23552
Estonia,2021-07-02,Moderna,94215
Estonia,2021-07-02,Oxford/AstraZeneca,232038
Estonia,2021-07-02,Pfizer/BioNTech,639705
Estonia,2021-07-09,Johnson&Johnson,25701
Estonia,2021-07-09,Moderna,97729
Estonia,2021-07-09,Oxford/AstraZeneca,233709
Estonia,2021-07-09,Pfizer/BioNTech,671638
Estonia,2021-07-16,Johnson&Johnson,29533
Estonia,2021-07-16,Moderna,99965
Estonia,2021-07-16,Oxford/AstraZeneca,234210
Estonia,2021-07-16,Pfizer/BioNTech,698890
Estonia,2021-07-23,Johnson&Johnson,33700
Estonia,2021-07-23,Moderna,102058
Estonia,2021-07-23,Oxford/AstraZeneca,234524
Estonia,2021-07-23,Pfizer/BioNTech,730711
Estonia,2021-07-30,Johnson&Johnson,36543
Estonia,2021-07-30,Moderna,104953
Estonia,2021-07-30,Oxford/AstraZeneca,234902
Estonia,2021-07-30,Pfizer/BioNTech,753829
Estonia,2021-08-06,Johnson&Johnson,40197
Estonia,2021-08-06,Moderna,107659
Estonia,2021-08-06,Oxford/AstraZeneca,235190
Estonia,2021-08-06,Pfizer/BioNTech,778480
Estonia,2021-08-13,Johnson&Johnson,43313
Estonia,2021-08-13,Moderna,111612
Estonia,2021-08-13,Oxford/AstraZeneca,235412
Estonia,2021-08-13,Pfizer/BioNTech,802905
Estonia,2021-08-20,Johnson&Johnson,44323
Estonia,2021-08-20,Moderna,115734
Estonia,2021-08-20,Oxford/AstraZeneca,235587
Estonia,2021-08-20,Pfizer/BioNTech,821899
Estonia,2021-08-27,Johnson&Johnson,44878
Estonia,2021-08-27,Moderna,120837
Estonia,2021-08-27,Oxford/AstraZeneca,235767
Estonia,2021-08-27,Pfizer/BioNTech,841346
Estonia,2021-09-03,Johnson&Johnson,45378
Estonia,2021-09-03,Moderna,124509
Estonia,2021-09-03,Oxford/AstraZeneca,235849
Estonia,2021-09-03,Pfizer/BioNTech,857493
Estonia,2021-09-10,Johnson&Johnson,45627
Estonia,2021-09-10,Moderna,128799
Estonia,2021-09-10,Oxford/AstraZeneca,235899
Estonia,2021-09-10,Pfizer/BioNTech,872690
Estonia,2021-09-17,Johnson&Johnson,47004
Estonia,2021-09-17,Moderna,132875
Estonia,2021-09-17,Oxford/AstraZeneca,235935
Estonia,2021-09-17,Pfizer/BioNTech,888399
Estonia,2021-09-24,Johnson&Johnson,49277
Estonia,2021-09-24,Moderna,136569
Estonia,2021-09-24,Oxford/AstraZeneca,235963
Estonia,2021-09-24,Pfizer/BioNTech,904136
Estonia,2021-10-01,Johnson&Johnson,51219
Estonia,2021-10-01,Moderna,139142
Estonia,2021-10-01,Oxford/AstraZeneca,235978
Estonia,2021-10-01,Pfizer/BioNTech,913282
Estonia,2021-10-08,Johnson&Johnson,52735
Estonia,2021-10-08,Moderna,141166
Estonia,2021-10-08,Oxford/AstraZeneca,235992
Estonia,2021-10-08,Pfizer/BioNTech,921418
Estonia,2021-10-15,Johnson&Johnson,54678
Estonia,2021-10-15,Moderna,143047
Estonia,2021-10-15,Oxford/AstraZeneca,236004
Estonia,2021-10-15,Pfizer/BioNTech,928769
Estonia,2021-10-22,Johnson&Johnson,58767
Estonia,2021-10-22,Moderna,144949
Estonia,2021-10-22,Oxford/AstraZeneca,236018
Estonia,2021-10-22,Pfizer/BioNTech,937871
Estonia,2021-10-26,Johnson&Johnson,60908
Estonia,2021-10-26,Moderna,145795
Estonia,2021-10-26,Oxford/AstraZeneca,236024
Estonia,2021-10-26,Pfizer/BioNTech,943580
