location,date,vaccine,total_vaccinations
Belgium,2021-01-08,Johnson&Johnson,0
Belgium,2021-01-08,Moderna,0
Belgium,2021-01-08,Oxford/AstraZeneca,0
Belgium,2021-01-08,Pfizer/BioNTech,28069
Belgium,2021-01-15,Johnson&Johnson,0
Belgium,2021-01-15,Moderna,38
Belgium,2021-01-15,Oxford/AstraZeneca,0
Belgium,2021-01-15,Pfizer/BioNTech,126966
Belgium,2021-01-22,Johnson&Johnson,0
Belgium,2021-01-22,Moderna,4512
Belgium,2021-01-22,Oxford/AstraZeneca,0
Belgium,2021-01-22,Pfizer/BioNTech,244795
Belgium,2021-01-29,Johnson&Johnson,0
Belgium,2021-01-29,Moderna,6207
Belgium,2021-01-29,Oxford/AstraZeneca,0
Belgium,2021-01-29,Pfizer/BioNTech,334533
Belgium,2021-02-05,Johnson&Johnson,0
Belgium,2021-02-05,Moderna,15981
Belgium,2021-02-05,Oxford/AstraZeneca,0
Belgium,2021-02-05,Pfizer/BioNTech,463692
Belgium,2021-02-12,Johnson&Johnson,0
Belgium,2021-02-12,Moderna,25582
Belgium,2021-02-12,Oxford/AstraZeneca,371
Belgium,2021-02-12,Pfizer/BioNTech,599318
Belgium,2021-02-19,Johnson&Johnson,0
Belgium,2021-02-19,Moderna,30387
Belgium,2021-02-19,Oxford/AstraZeneca,10807
Belgium,2021-02-19,Pfizer/BioNTech,700034
Belgium,2021-02-26,Johnson&Johnson,0
Belgium,2021-02-26,Moderna,32863
Belgium,2021-02-26,Oxford/AstraZeneca,45386
Belgium,2021-02-26,Pfizer/BioNTech,788731
Belgium,2021-03-05,Johnson&Johnson,0
Belgium,2021-03-05,Moderna,51727
Belgium,2021-03-05,Oxford/AstraZeneca,110181
Belgium,2021-03-05,Pfizer/BioNTech,877887
Belgium,2021-03-12,Johnson&Johnson,0
Belgium,2021-03-12,Moderna,67662
Belgium,2021-03-12,Oxford/AstraZeneca,191405
Belgium,2021-03-12,Pfizer/BioNTech,974422
Belgium,2021-03-19,Johnson&Johnson,0
Belgium,2021-03-19,Moderna,90144
Belgium,2021-03-19,Oxford/AstraZeneca,351281
Belgium,2021-03-19,Pfizer/BioNTech,1084886
Belgium,2021-03-26,Johnson&Johnson,0
Belgium,2021-03-26,Moderna,100488
Belgium,2021-03-26,Oxford/AstraZeneca,462002
Belgium,2021-03-26,Pfizer/BioNTech,1281628
Belgium,2021-04-02,Johnson&Johnson,0
Belgium,2021-04-02,Moderna,128311
Belgium,2021-04-02,Oxford/AstraZeneca,522047
Belgium,2021-04-02,Pfizer/BioNTech,1540448
Belgium,2021-04-09,Johnson&Johnson,0
Belgium,2021-04-09,Moderna,175582
Belgium,2021-04-09,Oxford/AstraZeneca,601781
Belgium,2021-04-09,Pfizer/BioNTech,1858681
Belgium,2021-04-16,Johnson&Johnson,0
Belgium,2021-04-16,Moderna,210219
Belgium,2021-04-16,Oxford/AstraZeneca,782719
Belgium,2021-04-16,Pfizer/BioNTech,2136158
Belgium,2021-04-23,Johnson&Johnson,0
Belgium,2021-04-23,Moderna,261625
Belgium,2021-04-23,Oxford/AstraZeneca,839690
Belgium,2021-04-23,Pfizer/BioNTech,2453397
Belgium,2021-04-30,Johnson&Johnson,3034
Belgium,2021-04-30,Moderna,288699
Belgium,2021-04-30,Oxford/AstraZeneca,905215
Belgium,2021-04-30,Pfizer/BioNTech,2809419
Belgium,2021-05-07,Johnson&Johnson,23949
Belgium,2021-05-07,Moderna,346615
Belgium,2021-05-07,Oxford/AstraZeneca,1008035
Belgium,2021-05-07,Pfizer/BioNTech,3361690
Belgium,2021-05-14,Johnson&Johnson,29716
Belgium,2021-05-14,Moderna,401165
Belgium,2021-05-14,Oxford/AstraZeneca,1101125
Belgium,2021-05-14,Pfizer/BioNTech,3813423
Belgium,2021-05-21,Johnson&Johnson,50248
Belgium,2021-05-21,Moderna,503042
Belgium,2021-05-21,Oxford/AstraZeneca,1368076
Belgium,2021-05-21,Pfizer/BioNTech,4182627
Belgium,2021-05-28,Johnson&Johnson,74035
Belgium,2021-05-28,Moderna,577403
Belgium,2021-05-28,Oxford/AstraZeneca,1468053
Belgium,2021-05-28,Pfizer/BioNTech,4624793
Belgium,2021-06-04,Johnson&Johnson,97856
Belgium,2021-06-04,Moderna,653711
Belgium,2021-06-04,Oxford/AstraZeneca,1571475
Belgium,2021-06-04,Pfizer/BioNTech,5323739
Belgium,2021-06-11,Johnson&Johnson,144144
Belgium,2021-06-11,Moderna,740052
Belgium,2021-06-11,Oxford/AstraZeneca,1758541
Belgium,2021-06-11,Pfizer/BioNTech,6077466
Belgium,2021-06-18,Johnson&Johnson,213554
Belgium,2021-06-18,Moderna,846360
Belgium,2021-06-18,Oxford/AstraZeneca,1893507
Belgium,2021-06-18,Pfizer/BioNTech,6790716
Belgium,2021-06-25,Johnson&Johnson,244540
Belgium,2021-06-25,Moderna,958988
Belgium,2021-06-25,Oxford/AstraZeneca,1962769
Belgium,2021-06-25,Pfizer/BioNTech,7450994
Belgium,2021-07-02,Johnson&Johnson,268024
Belgium,2021-07-02,Moderna,1042538
Belgium,2021-07-02,Oxford/AstraZeneca,2062706
Belgium,2021-07-02,Pfizer/BioNTech,7920326
Belgium,2021-07-09,Johnson&Johnson,283115
Belgium,2021-07-09,Moderna,1104141
Belgium,2021-07-09,Oxford/AstraZeneca,2289837
Belgium,2021-07-09,Pfizer/BioNTech,8454565
Belgium,2021-07-16,Johnson&Johnson,301209
Belgium,2021-07-16,Moderna,1158878
Belgium,2021-07-16,Oxford/AstraZeneca,2444307
Belgium,2021-07-16,Pfizer/BioNTech,8962504
Belgium,2021-07-23,Johnson&Johnson,311844
Belgium,2021-07-23,Moderna,1212436
Belgium,2021-07-23,Oxford/AstraZeneca,2550593
Belgium,2021-07-23,Pfizer/BioNTech,9514743
Belgium,2021-07-30,Johnson&Johnson,321097
Belgium,2021-07-30,Moderna,1243401
Belgium,2021-07-30,Oxford/AstraZeneca,2642034
Belgium,2021-07-30,Pfizer/BioNTech,10024000
Belgium,2021-08-06,Johnson&Johnson,330250
Belgium,2021-08-06,Moderna,1266886
Belgium,2021-08-06,Oxford/AstraZeneca,2702629
Belgium,2021-08-06,Pfizer/BioNTech,10382348
Belgium,2021-08-13,Johnson&Johnson,337551
Belgium,2021-08-13,Moderna,1284230
Belgium,2021-08-13,Oxford/AstraZeneca,2815703
Belgium,2021-08-13,Pfizer/BioNTech,10533546
Belgium,2021-08-20,Johnson&Johnson,343609
Belgium,2021-08-20,Moderna,1295667
Belgium,2021-08-20,Oxford/AstraZeneca,2825284
Belgium,2021-08-20,Pfizer/BioNTech,10632762
Belgium,2021-08-27,Johnson&Johnson,349332
Belgium,2021-08-27,Moderna,1303418
Belgium,2021-08-27,Oxford/AstraZeneca,2828771
Belgium,2021-08-27,Pfizer/BioNTech,10704645
Belgium,2021-09-03,Johnson&Johnson,355221
Belgium,2021-09-03,Moderna,1312616
Belgium,2021-09-03,Oxford/AstraZeneca,2831208
Belgium,2021-09-03,Pfizer/BioNTech,10757860
Belgium,2021-09-10,Johnson&Johnson,360035
Belgium,2021-09-10,Moderna,1318904
Belgium,2021-09-10,Oxford/AstraZeneca,2832182
Belgium,2021-09-10,Pfizer/BioNTech,10799157
Belgium,2021-09-17,Johnson&Johnson,366471
Belgium,2021-09-17,Moderna,1324659
Belgium,2021-09-17,Oxford/AstraZeneca,2833069
Belgium,2021-09-17,Pfizer/BioNTech,10834734
Belgium,2021-09-24,Johnson&Johnson,373162
Belgium,2021-09-24,Moderna,1328305
Belgium,2021-09-24,Oxford/AstraZeneca,2833625
Belgium,2021-09-24,Pfizer/BioNTech,10875128
Belgium,2021-10-01,Johnson&Johnson,378028
Belgium,2021-10-01,Moderna,1333009
Belgium,2021-10-01,Oxford/AstraZeneca,2833931
Belgium,2021-10-01,Pfizer/BioNTech,10913597
Belgium,2021-10-08,Johnson&Johnson,381814
Belgium,2021-10-08,Moderna,1334805
Belgium,2021-10-08,Oxford/AstraZeneca,2834038
Belgium,2021-10-08,Pfizer/BioNTech,10942916
Belgium,2021-10-15,Johnson&Johnson,384974
Belgium,2021-10-15,Moderna,1336942
Belgium,2021-10-15,Oxford/AstraZeneca,2834156
Belgium,2021-10-15,Pfizer/BioNTech,10970634
Belgium,2021-10-19,Johnson&Johnson,385142
Belgium,2021-10-19,Moderna,1337359
Belgium,2021-10-19,Oxford/AstraZeneca,2834158
Belgium,2021-10-19,Pfizer/BioNTech,10971903
