location,date,vaccine,total_vaccinations
Netherlands,2021-01-01,Johnson&Johnson,0
Netherlands,2021-01-01,Moderna,0
Netherlands,2021-01-01,Oxford/AstraZeneca,0
Netherlands,2021-01-01,Pfizer/BioNTech,0
Netherlands,2021-01-08,Johnson&Johnson,0
Netherlands,2021-01-08,Moderna,0
Netherlands,2021-01-08,Oxford/AstraZeneca,0
Netherlands,2021-01-08,Pfizer/BioNTech,33759
Netherlands,2021-01-15,Johnson&Johnson,0
Netherlands,2021-01-15,Moderna,0
Netherlands,2021-01-15,Oxford/AstraZeneca,0
Netherlands,2021-01-15,Pfizer/BioNTech,76960
Netherlands,2021-01-22,Johnson&Johnson,0
Netherlands,2021-01-22,Moderna,2572
Netherlands,2021-01-22,Oxford/AstraZeneca,0
Netherlands,2021-01-22,Pfizer/BioNTech,163734
Netherlands,2021-01-29,Johnson&Johnson,0
Netherlands,2021-01-29,Moderna,8883
Netherlands,2021-01-29,Oxford/AstraZeneca,0
Netherlands,2021-01-29,Pfizer/BioNTech,342401
Netherlands,2021-02-05,Johnson&Johnson,0
Netherlands,2021-02-05,Moderna,14873
Netherlands,2021-02-05,Oxford/AstraZeneca,0
Netherlands,2021-02-05,Pfizer/BioNTech,556319
Netherlands,2021-02-12,Johnson&Johnson,0
Netherlands,2021-02-12,Moderna,21226
Netherlands,2021-02-12,Oxford/AstraZeneca,525
Netherlands,2021-02-12,Pfizer/BioNTech,766189
Netherlands,2021-02-19,Johnson&Johnson,0
Netherlands,2021-02-19,Moderna,37220
Netherlands,2021-02-19,Oxford/AstraZeneca,69123
Netherlands,2021-02-19,Pfizer/BioNTech,931388
Netherlands,2021-02-26,Johnson&Johnson,0
Netherlands,2021-02-26,Moderna,56590
Netherlands,2021-02-26,Oxford/AstraZeneca,181905
Netherlands,2021-02-26,Pfizer/BioNTech,1143837
Netherlands,2021-03-05,Johnson&Johnson,0
Netherlands,2021-03-05,Moderna,75075
Netherlands,2021-03-05,Oxford/AstraZeneca,257245
Netherlands,2021-03-05,Pfizer/BioNTech,1344117
Netherlands,2021-03-12,Johnson&Johnson,0
Netherlands,2021-03-12,Moderna,93993
Netherlands,2021-03-12,Oxford/AstraZeneca,357973
Netherlands,2021-03-12,Pfizer/BioNTech,1509524
Netherlands,2021-03-19,Johnson&Johnson,0
Netherlands,2021-03-19,Moderna,114032
Netherlands,2021-03-19,Oxford/AstraZeneca,357973
Netherlands,2021-03-19,Pfizer/BioNTech,1703891
Netherlands,2021-03-26,Johnson&Johnson,0
Netherlands,2021-03-26,Moderna,154756
Netherlands,2021-03-26,Oxford/AstraZeneca,454076
Netherlands,2021-03-26,Pfizer/BioNTech,1865093
Netherlands,2021-04-02,Johnson&Johnson,0
Netherlands,2021-04-02,Moderna,196161
Netherlands,2021-04-02,Oxford/AstraZeneca,574625
Netherlands,2021-04-02,Pfizer/BioNTech,2154075
Netherlands,2021-04-09,Johnson&Johnson,0
Netherlands,2021-04-09,Moderna,230369
Netherlands,2021-04-09,Oxford/AstraZeneca,843976
Netherlands,2021-04-09,Pfizer/BioNTech,2493622
Netherlands,2021-04-16,Johnson&Johnson,0
Netherlands,2021-04-16,Moderna,261786
Netherlands,2021-04-16,Oxford/AstraZeneca,1154719
Netherlands,2021-04-16,Pfizer/BioNTech,2957585
Netherlands,2021-04-23,Johnson&Johnson,8886
Netherlands,2021-04-23,Moderna,296043
Netherlands,2021-04-23,Oxford/AstraZeneca,1260673
Netherlands,2021-04-23,Pfizer/BioNTech,3461548
Netherlands,2021-04-30,Johnson&Johnson,48509
Netherlands,2021-04-30,Moderna,325611
Netherlands,2021-04-30,Oxford/AstraZeneca,1349710
Netherlands,2021-04-30,Pfizer/BioNTech,3989968
Netherlands,2021-05-07,Johnson&Johnson,95474
Netherlands,2021-05-07,Moderna,374449
Netherlands,2021-05-07,Oxford/AstraZeneca,1495112
Netherlands,2021-05-07,Pfizer/BioNTech,4592228
Netherlands,2021-05-14,Johnson&Johnson,124389
Netherlands,2021-05-14,Moderna,451925
Netherlands,2021-05-14,Oxford/AstraZeneca,1684712
Netherlands,2021-05-14,Pfizer/BioNTech,5304017
Netherlands,2021-05-21,Johnson&Johnson,142107
Netherlands,2021-05-21,Moderna,536104
Netherlands,2021-05-21,Oxford/AstraZeneca,1831360
Netherlands,2021-05-21,Pfizer/BioNTech,6086260
Netherlands,2021-05-28,Johnson&Johnson,240283
Netherlands,2021-05-28,Moderna,639466
Netherlands,2021-05-28,Oxford/AstraZeneca,1946115
Netherlands,2021-05-28,Pfizer/BioNTech,6779108
Netherlands,2021-06-04,Johnson&Johnson,389478
Netherlands,2021-06-04,Moderna,781630
Netherlands,2021-06-04,Oxford/AstraZeneca,2079335
Netherlands,2021-06-04,Pfizer/BioNTech,7536314
Netherlands,2021-06-11,Johnson&Johnson,438380
Netherlands,2021-06-11,Moderna,944947
Netherlands,2021-06-11,Oxford/AstraZeneca,2288740
Netherlands,2021-06-11,Pfizer/BioNTech,8772895
Netherlands,2021-06-18,Johnson&Johnson,458457
Netherlands,2021-06-18,Moderna,1075501
Netherlands,2021-06-18,Oxford/AstraZeneca,2460095
Netherlands,2021-06-18,Pfizer/BioNTech,9867260
Netherlands,2021-06-25,Johnson&Johnson,541341
Netherlands,2021-06-25,Moderna,1187079
Netherlands,2021-06-25,Oxford/AstraZeneca,2618023
