location,date,vaccine,total_vaccinations
Denmark,2020-12-18,Pfizer/BioNTech,1
Denmark,2020-12-25,Pfizer/BioNTech,5
Denmark,2021-01-01,Moderna,1
Denmark,2021-01-01,Pfizer/BioNTech,5886
Denmark,2021-01-08,Johnson&Johnson,4
Denmark,2021-01-08,Moderna,15
Denmark,2021-01-08,Oxford/AstraZeneca,1
Denmark,2021-01-08,Pfizer/BioNTech,106318
Denmark,2021-01-15,Moderna,1073
Denmark,2021-01-15,Oxford/AstraZeneca,2
Denmark,2021-01-15,Pfizer/BioNTech,156679
Denmark,2021-01-22,Moderna,2599
Denmark,2021-01-22,Oxford/AstraZeneca,8
Denmark,2021-01-22,Pfizer/BioNTech,190936
Denmark,2021-01-29,Moderna,2657
Denmark,2021-01-29,Oxford/AstraZeneca,14
Denmark,2021-01-29,Pfizer/BioNTech,250850
Denmark,2021-02-05,Johnson&Johnson,5
Denmark,2021-02-05,Moderna,5830
Denmark,2021-02-05,Oxford/AstraZeneca,33
Denmark,2021-02-05,Pfizer/BioNTech,306320
Denmark,2021-02-12,Moderna,12053
Denmark,2021-02-12,Oxford/AstraZeneca,16298
Denmark,2021-02-12,Pfizer/BioNTech,349048
Denmark,2021-02-19,Moderna,13957
Denmark,2021-02-19,Oxford/AstraZeneca,40511
Denmark,2021-02-19,Pfizer/BioNTech,411220
Denmark,2021-02-26,Moderna,15570
Denmark,2021-02-26,Oxford/AstraZeneca,85278
Denmark,2021-02-26,Pfizer/BioNTech,481310
Denmark,2021-03-05,Johnson&Johnson,11
Denmark,2021-03-05,Moderna,24655
Denmark,2021-03-05,Oxford/AstraZeneca,133081
Denmark,2021-03-05,Pfizer/BioNTech,551120
Denmark,2021-03-12,Johnson&Johnson,21
Denmark,2021-03-12,Moderna,34890
Denmark,2021-03-12,Oxford/AstraZeneca,151276
Denmark,2021-03-12,Pfizer/BioNTech,620722
Denmark,2021-03-19,Johnson&Johnson,76
Denmark,2021-03-19,Moderna,47042
Denmark,2021-03-19,Oxford/AstraZeneca,151395
Denmark,2021-03-19,Pfizer/BioNTech,713652
Denmark,2021-03-26,Johnson&Johnson,119
Denmark,2021-03-26,Moderna,55287
Denmark,2021-03-26,Oxford/AstraZeneca,151529
Denmark,2021-03-26,Pfizer/BioNTech,809010
Denmark,2021-04-02,Johnson&Johnson,181
Denmark,2021-04-02,Moderna,75043
Denmark,2021-04-02,Oxford/AstraZeneca,151631
Denmark,2021-04-02,Pfizer/BioNTech,912892
Denmark,2021-04-09,Johnson&Johnson,310
Denmark,2021-04-09,Moderna,93345
Denmark,2021-04-09,Oxford/AstraZeneca,151727
Denmark,2021-04-09,Pfizer/BioNTech,1042103
Denmark,2021-04-16,Johnson&Johnson,329
Denmark,2021-04-16,Moderna,113693
Denmark,2021-04-16,Oxford/AstraZeneca,151836
Denmark,2021-04-16,Pfizer/BioNTech,1264286
Denmark,2021-04-23,Johnson&Johnson,331
Denmark,2021-04-23,Moderna,125561
Denmark,2021-04-23,Oxford/AstraZeneca,151949
Denmark,2021-04-23,Pfizer/BioNTech,1474765
Denmark,2021-04-30,Johnson&Johnson,374
Denmark,2021-04-30,Moderna,150876
Denmark,2021-04-30,Oxford/AstraZeneca,152080
Denmark,2021-04-30,Pfizer/BioNTech,1685125
Denmark,2021-05-07,Johnson&Johnson,424
Denmark,2021-05-07,Moderna,185968
Denmark,2021-05-07,Oxford/AstraZeneca,152234
Denmark,2021-05-07,Pfizer/BioNTech,1984700
Denmark,2021-05-14,Johnson&Johnson,523
Denmark,2021-05-14,Moderna,221459
Denmark,2021-05-14,Oxford/AstraZeneca,152402
Denmark,2021-05-14,Pfizer/BioNTech,2279940
Denmark,2021-05-21,Johnson&Johnson,673
Denmark,2021-05-21,Moderna,266530
Denmark,2021-05-21,Oxford/AstraZeneca,152585
Denmark,2021-05-21,Pfizer/BioNTech,2586132
Denmark,2021-05-28,Johnson&Johnson,1628
Denmark,2021-05-28,Moderna,298053
Denmark,2021-05-28,Oxford/AstraZeneca,152805
Denmark,2021-05-28,Pfizer/BioNTech,2881870
Denmark,2021-06-04,Johnson&Johnson,11245
Denmark,2021-06-04,Moderna,330118
Denmark,2021-06-04,Oxford/AstraZeneca,152984
Denmark,2021-06-04,Pfizer/BioNTech,3208506
Denmark,2021-06-11,Johnson&Johnson,30156
Denmark,2021-06-11,Moderna,354391
Denmark,2021-06-11,Oxford/AstraZeneca,153328
Denmark,2021-06-11,Pfizer/BioNTech,3612892
Denmark,2021-06-18,Johnson&Johnson,39824
Denmark,2021-06-18,Moderna,392976
Denmark,2021-06-18,Oxford/AstraZeneca,153565
Denmark,2021-06-18,Pfizer/BioNTech,4007215
Denmark,2021-06-25,Johnson&Johnson,43393
Denmark,2021-06-25,Moderna,430832
Denmark,2021-06-25,Oxford/AstraZeneca,153681
Denmark,2021-06-25,Pfizer/BioNTech,4384244
Denmark,2021-07-02,Johnson&Johnson,45080
Denmark,2021-07-02,Moderna,470131
Denmark,2021-07-02,Oxford/AstraZeneca,153815
Denmark,2021-07-02,Pfizer/BioNTech,4773053
Denmark,2021-07-09,Johnson&Johnson,45635
Denmark,2021-07-09,Moderna,546651
Denmark,2021-07-09,Oxford/AstraZeneca,153905
Denmark,2021-07-09,Pfizer/BioNTech,5211217
Denmark,2021-07-16,Johnson&Johnson,45914
Denmark,2021-07-16,Moderna,657536
Denmark,2021-07-16,Oxford/AstraZeneca,154042
Denmark,2021-07-16,Pfizer/BioNTech,5633381
Denmark,2021-07-23,Johnson&Johnson,46119
Denmark,2021-07-23,Moderna,735129
Denmark,2021-07-23,Oxford/AstraZeneca,154169
Denmark,2021-07-23,Pfizer/BioNTech,6048098
Denmark,2021-07-30,Johnson&Johnson,46225
Denmark,2021-07-30,Moderna,779717
Denmark,2021-07-30,Oxford/AstraZeneca,154272
